Ann_Mean,Mean_Diurnal_Range,Isotherm,Max_Temp,Min_Temp,Temp_Range,Ann_Precip,Precip_WetQ,Precip_DryQ,Precip_WarmQ,Precip_ColdQ,Mass,Length,Alt,Lat,Long
-1.1,10.9,2.5,20.3,-23.3,43.6,270,107,36,105,54,298,386,632,60.71666667,-135.05
-2.8,11.7,3,17.1,-21.8,38.9,468,168,68,160,107,25.5,324,1680,58.18805556,-129.8880556
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,87.4,279,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,159.4,345,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,180,365,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,251.3,383,211,43.4113,-123.5741
11,12.5,4.8,26.8,0.8,26,1363,688,60,72,624,313.3,407,211,43.4113,-123.5741
-3.3,10.7,2.1,22.2,-28.4,50.6,423,194,56,194,56,260,354,173,61.003963,-123.380582
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,144.2,300,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,237.1,304,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,165.3,346,1365,47.7716,-123.067
5.5,8.2,3.8,18.4,-3.1,21.5,2131,973,171,189,907,196.6,354,1365,47.7716,-123.067
3.4,12.7,3.3,22.6,-15.8,38.4,356,138,51,138,77,220,360,889,51.968386,-122.52979
9.4,10.7,4.3,23.8,-0.7,24.5,1372,587,144,144,532,114,305,242,46.8675,-122.2653
10,10.8,4.3,24.4,-0.3,24.7,1112,471,122,122,426,197.2,360,38,47.1308,-122.2317
10,10.8,4.3,24.4,-0.3,24.7,1112,471,122,122,426,206.6,392,38,47.1308,-122.2317
7.5,12.3,4.2,25.1,-3.7,28.8,1950,929,126,126,855,134.9,299,1061,44.2072,-122.2021
11,8.9,3.9,24.1,1.5,22.6,998,450,96,96,407,192.7,361,47,47.6106,-122.1994
7.2,12.7,4.2,25.5,-4.5,30,1740,839,114,114,776,191,351,1106,44.22,-122.15
8.9,9.8,4,23,-1,24,1831,766,191,191,694,106.5,251,178,47.8881,-121.7413
4.4,11.7,4,22,-6.9,28.9,1621,767,123,124,715,140,301,1003,44.51035,-121.72019
3.1,9,3.3,18.3,-8.5,26.8,1440,640,157,171,588,187,324,1621,48.8375,-121.575
3.1,8.1,3.3,17.2,-6.8,24,2487,1159,193,211,1078,187.3,385,1145,46.9179191,-121.5526815
5.7,14.4,4.4,24.8,-7.4,32.2,1043,461,61,61,446,450,420,1860,40.44631,-121.409
5.7,14.4,4.4,24.8,-7.4,32.2,1043,461,61,61,446,310,365,1680,40.40637,-121.36086
5.7,14.9,4.4,25.3,-7.9,33.2,948,419,58,58,411,294.5,382,1582,40.41,-121.33
8.2,16.2,4.6,29,-5.6,34.6,250,102,34,45,94,297.5,357,850,44.33,-121.23
7.9,16.2,4.7,28.6,-5.7,34.3,280,108,38,49,95,299.4,367,941,44.48,-121.15
7.9,16.2,4.7,28.6,-5.7,34.3,280,108,38,49,95,455.4,420,941,44.48,-121.15
7.6,16.3,4.5,28.5,-7.6,36.1,407,152,41,48,142,250,359,1446,41.59954,-121.12742
3.7,8.9,3.2,19.4,-7.8,27.2,1570,749,129,135,694,260,380,1256,47.1166667,-121.0666667
4.6,10.2,3.4,21.5,-8.5,30,1141,529,122,122,480,211,330,484,48.9127967,-121.0661
4.6,10.2,3.4,21.5,-8.5,30,1141,529,122,122,480,211,355,696,48.948976,-121.0661
4.5,10,3.4,21.4,-8,29.4,1145,553,97,100,512,173,331,1213,47.13333333,-120.9666667
2.5,10.6,3.3,20,-11.3,31.3,912,406,119,119,372,228,346,1751,48.9127967,-120.9567171
4.6,10.2,3.4,21.6,-7.9,29.5,1047,507,90,90,469,191,378,957,46.905123,-120.9513899
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,500,379,1660,40.84819,-120.77441
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,340,374,1660,40.84853,-120.76834
6.2,16.6,4.4,27.6,-9.4,37,457,173,45,52,165,350,380,1660,40.84853,-120.76834
2.8,11,3.4,20.9,-11,31.9,1011,480,108,108,440,135.2,363,605,48.3441,-120.6971
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,191,320,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,198,330,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,232,360,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,332,376,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,245,398,1701,40.80434,-120.61235
5.9,16.6,4.4,27.5,-9.8,37.3,435,167,44,51,160,560,445,1701,40.80434,-120.61235
0.8,10.7,3.3,18.6,-13.2,31.8,769,327,113,116,301,393,363,1609,48.6739498,-120.56647
2.7,10.8,3.3,20.9,-11,31.9,1016,488,101,101,449,189.9,328,738,47.9586,-120.5361
2.7,10.8,3.3,20.9,-11,31.9,1016,488,101,101,449,188,335,738,47.9586,-120.5361
1.8,11.1,3.3,20.1,-12.6,32.7,813,364,108,108,335,308,373,999,48.6586,-120.5105327
6.9,16.9,4.4,29,-9.2,38.2,332,115,41,49,107,490,379.5,1631,40.88837,-120.18111
6.3,16.3,4.3,27.9,-9.4,37.3,353,122,43,53,113,256,361,1776,40.96636,-120.13745
9.5,16.9,4.4,31.6,-6.4,38,333,143,32,35,140,232,325,1394,40.091947,-120.088171
9.5,16.9,4.4,31.6,-6.4,38,333,143,32,35,140,278,374,1436,40.092013,-120.077708
7,12.4,3.3,27.6,-9.3,36.9,381,170,47,53,155,194,328,477,47.8525,-120.0151
7.9,12.2,3.2,28.7,-8.8,37.5,261,108,34,42,96,233.5,358,616,47.5060503,-119.9133
4.2,13.4,4.3,21.7,-8.9,30.6,974,452,61,65,445,178,350,2386,38.66816,-119.90981
7.9,12.8,3.3,28.8,-9.1,37.9,331,139,44,52,128,379.8,391,689,48.1089938,-119.9022
8.8,12.7,3.3,29.7,-8.3,38,294,118,39,48,109,326.1,386,377,48.1250467,-119.7794
4.8,13.5,4.5,22.1,-7.8,29.9,806,378,45,53,378,289,362,2315,37.83979,-119.59254
4.8,13.5,4.5,22.1,-7.8,29.9,806,378,45,53,378,423,403,2315,37.83979,-119.59254
7.8,11.6,3.2,27.5,-7.8,35.3,294,86,59,83,82,200,168,328,49.289881,-119.530515
7.8,11.6,3.2,27.5,-7.8,35.3,294,86,59,83,82,195,173,328,49.289881,-119.530515
7.8,11.6,3.2,27.5,-7.8,35.3,294,86,59,83,82,90,253,328,49.289881,-119.530515
9.2,17.7,4.4,31.6,-8.2,39.8,201,72,32,35,72,490.6,450,1286,39.58666,-119.45603
2.8,12.9,4.4,19.6,-9.4,29,729,334,53,61,322,132,295,2483,37.9007,-119.43205
2.8,12.9,4.4,19.6,-9.4,29,729,334,53,61,322,199,321,2385,37.9136,-119.42421
2.8,12.9,4.4,19.6,-9.4,29,729,334,53,61,322,169,319,2385,37.91355,-119.42225
2.8,12.9,4.4,19.6,-9.4,29,729,334,53,61,322,221,361,2385,37.91355,-119.42225
2.8,12.9,4.4,19.6,-9.4,29,729,334,53,61,322,111,275,2972,37.84117,-119.41206
10.6,12.9,3.5,31.1,-5.4,36.5,188,76,21,26,69,138,291,253,46.9101192,-119.29
10.6,12.9,3.5,31.1,-5.4,36.5,188,76,21,26,69,210.1,329,325,46.9274359,-119.1742
5.9,15.1,4.5,24.6,-8.7,33.3,420,188,41,41,188,190,310,2577,37.87078,-119.16125
5.9,15.1,4.5,24.6,-8.7,33.3,420,188,41,41,188,230,360,2190,37.93989,-119.12619
4,13.1,4.4,20.9,-8.3,29.2,586,271,42,51,271,94,249,2296,37.60008,-119.08324
6.5,16.7,4.3,28.7,-9.6,38.3,280,87,46,56,76,248.5,335,2053,42.09,-118.67
7.2,16.3,4.3,28.9,-8.8,37.7,278,88,44,54,78,265,356,1343,43.06,-118.6
7.2,16.3,4.3,28.9,-8.8,37.7,278,88,44,54,78,362,404,1343,43.06,-118.6
4.2,16.3,4.2,26.2,-12.3,38.5,498,196,68,83,179,438,421,1554,44.5399,-118.3346
4.9,12,4.2,21.4,-6.8,28.2,602,285,41,55,283,160,315,2473,36.17218,-118.21202
4.9,12,4.2,21.4,-6.8,28.2,602,285,41,55,283,242,351,2473,36.17218,-118.21202
7.3,16.1,4.3,27.7,-9.1,36.8,224,77,43,45,77,189,322,2923,37.53101,-118.16508
7.3,16.1,4.3,27.7,-9.1,36.8,224,77,43,45,77,198,333,2923,37.53101,-118.16508
7.3,16.1,4.3,27.7,-9.1,36.8,224,77,43,45,77,231,338,3059,37.50348,-118.14757
6.1,16.8,4.2,28.9,-10.3,39.2,327,113,46,58,103,266,362,1749,41.62096,-117.54611
6.1,16.8,4.2,28.9,-10.3,39.2,327,113,46,58,103,281,372,1749,41.62117,-117.54596
6.1,16.8,4.2,28.9,-10.3,39.2,327,113,46,58,103,225,333,1749,41.61967,-117.54524
6.4,16.3,4.2,28.1,-10,38.1,300,93,61,65,75,322,375,2269,39.22617,-117.14085
6.4,16.3,4.2,28.1,-10,38.1,300,93,61,65,75,302,391,2283,39.2191,-117.13041
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,465,335,732,45.9543,-117.1281
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,410,378,732,45.9543,-117.1281
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,390,397,732,45.9543,-117.1281
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,390,400,732,45.9543,-117.1281
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,240,348,1006,45.9379,-117.1255
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,430,394,868,45.9543,-117.1229
6.2,13.9,3.9,26.7,-8.4,35.1,544,175,84,101,160,360,396,637,45.9708,-117.0682
1.5,15.1,4,22.7,-14.3,37,713,252,102,121,241,324,405,2353,45.1908989,-116.5725021
1.5,15.1,4,22.7,-14.3,37,713,252,102,121,241,324,405,2353,45.19094,-116.5725
9.6,14.4,4.1,29,-5.8,34.8,336,113,49,82,106,180,325,2692,36.64444,-115.21159
0.9,12.9,3.2,20.6,-18.8,39.4,577,210,106,193,125,130,295,1385,51.02791,-115.0342
7.3,17.4,4.2,30.1,-10.9,41,337,100,71,82,72,139,313,2072,39.11702,-114.30418
7.3,17.4,4.2,30.1,-10.9,41,337,100,71,82,72,273,355,2072,39.1174,-114.30383
7.3,17.4,4.2,30.1,-10.9,41,337,100,71,82,72,263,369,2072,39.1174,-114.30383
7.3,17.4,4.2,30.1,-10.9,41,337,100,71,82,72,354,386,2103,39.11444,-114.30054
7.3,17.4,4.2,30.1,-10.9,41,337,100,71,82,72,203,365,2074,39.1144,-114.29949
4.9,15.4,3.9,26.8,-12.1,38.9,372,112,66,80,106,214,333,2191,42.2033,-114.2725
6.5,14.7,3.8,28.3,-9.5,37.8,343,112,66,97,82,214,343,1741,46.59677,-114.16418
6.5,14.7,3.8,28.3,-9.5,37.8,343,112,66,97,82,142,296,1382,46.57505,-114.15044
6.5,14.7,3.8,28.3,-9.5,37.8,343,112,66,97,82,220,365,1382,46.57505,-114.15044
4.7,14.2,3.7,26.4,-11.4,37.8,461,139,97,116,124,148.3,325,979,46.872146,-113.993998
2.4,16.7,4,25.2,-15.9,41.1,324,118,56,106,58,231,270,2187,44.9338,-113.7734
5.4,15.2,3.8,27.6,-12.4,40,364,110,74,90,93,212,350,1701,41.9529,-113.6765
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,185,305,1589,44.95039,-113.61376
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,195,323,1589,44.95039,-113.61376
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,220,331,1589,44.95039,-113.61376
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,358,386,1589,44.95039,-113.61376
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,89.5,245,1589,44.9508,-113.6134
3.8,16.6,3.9,27,-14.8,41.8,271,109,38,97,40,188,298,1766,44.9742,-113.52457
1.4,12.8,3.5,21,-14.8,35.8,649,207,142,180,155,128.7,269,1383,48.6967,-113.5113
2.5,12.8,3.5,22.4,-13.4,35.8,708,211,142,169,201,293,382,1625,48.24106,-113.49101
2.5,12.8,3.5,22.4,-13.4,35.8,708,211,142,169,201,330,408,1625,48.24106,-113.49101
2.5,12.8,3.5,22.4,-13.4,35.8,708,211,142,169,201,331,411,1625,48.24106,-113.49101
2.5,12.8,3.5,22.4,-13.4,35.8,708,211,142,169,201,526,444,1625,48.24106,-113.49101
3.2,16,3.6,26.7,-16.7,43.4,300,108,57,94,61,258,384,2277,44.06242,-112.99182
3.2,16,3.6,26.7,-16.7,43.4,300,108,57,94,61,258,384,2277,44.06242,-112.99182
7.6,14.6,3.6,30.5,-9.9,40.4,295,93,56,64,72,273,359,1297,42.68404,-112.97845
3.3,14.9,3.8,24.9,-14,38.9,347,141,47,128,47,370,378,1778,45.731,-112.676
3.3,14.9,3.8,24.9,-14,38.9,347,141,47,128,47,315,380,1778,45.731,-112.676
3.3,14.9,3.8,24.9,-14,38.9,347,141,47,128,47,300,385,1778,45.731,-112.676
8.6,15.9,4.2,29,-8.1,37.1,405,127,58,106,116,155,315,2304,36.6005,-112.3421667
5.5,13.8,3.6,26.6,-11.1,37.7,418,174,49,138,49,280,382,1746,45.537048,-111.770277
5.5,13.8,3.6,26.6,-11.1,37.7,418,174,49,138,49,195,340,1746,45.536847,-111.769506
5.5,13.8,3.6,26.6,-11.1,37.7,418,174,49,138,49,280,330,1746,45.536613,-111.769442
2.6,15.7,3.7,25.8,-16.3,42.1,609,200,107,125,199,204,325,1818,44.18491,-111.31812
2.6,15.7,3.7,25.8,-16.3,42.1,609,200,107,125,199,291,358,1809,44.1753,-111.31496
2.9,13.9,3.8,23,-13.1,36.1,555,226,84,190,84,195,330,1627,46.83244,-110.2806
2.9,13.9,3.8,23,-13.1,36.1,555,226,84,190,84,249,356,1627,46.83244,-110.2806
5,14.5,3.8,25.5,-12,37.5,463,209,58,174,58,380,400,1568,46.83469,-110.2774
6.7,15.5,3.8,28.6,-12,40.6,350,162,35,133,35,285.95,355,1163,46.24411111,-109.4304167
5.5,15.5,3.7,28.2,-13,41.2,251,87,38,72,38,39.8,147,1990,41.2851,-109.335
5.5,15.5,3.7,28.2,-13,41.2,251,87,38,72,38,33.1,192,1990,41.2851,-109.335
5.5,15.5,3.7,28.2,-13,41.2,251,87,38,72,38,34.3,197,1990,41.2851,-109.335
5.5,15.5,3.7,28.2,-13,41.2,251,87,38,72,38,54.6,210,1990,41.2851,-109.335
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,247,363,2048,41.43596,-109.31689
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,257,308,2064,41.43783,-109.3164
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,227,335,2064,41.43783,-109.3164
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,196,344,2064,41.43783,-109.3164
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,256,363,2064,41.43783,-109.3164
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,256,357,2059,41.45118,-109.30972
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,196,317,2027,41.45303,-109.30716
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,202,366,2027,41.45303,-109.30716
5.1,15.4,3.7,28,-13.3,41.3,239,83,37,67,37,323,398,2027,41.45303,-109.30716
4.7,15,3.7,27.1,-13.1,40.2,273,90,46,76,46,162.7,330,2116,41.27931,-109.25688
6.7,16.5,3.6,30.5,-14.3,44.8,307,90,54,79,54,126,291,1862,40.24783,-108.975466
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,136,294,2644,42.5374,-108.79765
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,175,321,2644,42.5374,-108.79765
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,135,290,2644,42.53757,-108.79652
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,144,309,2644,42.53891,-108.79631
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,215,351,2644,42.53891,-108.79631
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,236,344,2609,42.51878,-108.79351
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,307,375,2609,42.51878,-108.79351
2.3,14.8,3.6,24.5,-15.7,40.2,349,118,72,83,79,177,305,2562,42.51403,-108.79301
6.7,15.8,3.5,30.2,-14,44.2,251,117,26,64,26,148.5,300,1683,42.85315,-108.780508
6.2,17.6,3.9,30,-14.1,44.1,271,82,45,71,45,59.3,219,2083,40.8295,-108.7349
6.2,17.6,3.9,30,-14.1,44.1,271,82,45,71,45,143.5,302,2083,40.8295,-108.7349
5.4,17.4,3.9,29,-15,44,316,92,56,82,56,141,300,1941,40.63738,-108.63316
4.3,14.7,3.7,26,-13.7,39.7,452,185,65,127,65,276,362,1795,45.21292,-108.51588
4.3,14.7,3.7,26,-13.7,39.7,452,185,65,127,65,324,371,1795,45.21292,-108.51588
5.8,18.9,4.1,29.7,-16.2,45.9,359,104,67,93,67,235.3,356,1770,40.0868866,-108.2353772
5.8,18.9,4.1,29.7,-16.2,45.9,359,104,67,93,67,284.2,387,1770,40.0868866,-108.2353772
5.8,18.9,4.1,29.7,-16.2,45.9,359,104,67,93,67,140.8,219,1947,40.009588,-108.197092
5.8,18.9,4.1,29.7,-16.2,45.9,359,104,67,93,67,140.8,291,1947,40.009588,-108.197092
10.2,17.6,4.2,32.1,-9.8,41.9,227,95,35,79,40,239,386,1842,36.00273,-108.1453401
1.6,15.4,4,21.8,-16.6,38.4,675,192,138,144,176,232.5,329,3147,39.0382,-107.9076
1.6,15.4,4,21.8,-16.6,38.4,675,192,138,144,176,261.2,333,3147,39.0382,-107.9076
9.7,17.6,4.1,31.6,-10.4,42,236,100,37,83,41,301,407,1893,36.031488,-107.8896168
3.1,16.2,4,24.4,-15.5,39.9,515,142,120,123,122,230,352,2832,39.8032197,-107.8169106
3.1,16.2,4,24.4,-15.5,39.9,515,142,120,123,122,144,319,2890,39.803304,-107.7981206
3.1,16.2,4,24.4,-15.5,39.9,515,142,120,123,122,230,343,2890,39.803304,-107.7981206
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,155,311,2418,44.28702,-106.9648
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,167,326,2340,44.30178,-106.95128
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,259,355,2340,44.30178,-106.95128
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,155,325,2368,44.27757,-106.94853
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,270,369,2368,44.27757,-106.94853
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,168,320,2291,44.3018,-106.94785
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,216,355,2291,44.3018,-106.94785
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,190,319,2397,44.28463,-106.94404
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,335,395,2167,44.3238,-106.91302
2,13.7,3.6,23,-14.5,37.5,492,192,78,140,78,185,340,2255,44.16916,-106.89883
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,135,307,2661,38.82343333,-106.8697167
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,165,324,2661,38.82343333,-106.8697167
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,173,333,2661,38.82343333,-106.8697167
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,183,335,2661,38.82343333,-106.8697167
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,195,338,2661,38.82343333,-106.8697167
0.6,17.6,4,22.3,-21.6,43.9,513,147,100,133,141,271,352,2661,38.82343333,-106.8697167
2.5,19.3,4,25.8,-21.4,47.2,359,121,71,109,88,204,333,2503,38.65583,-106.85651
2.5,19.3,4,25.8,-21.4,47.2,359,121,71,109,88,232,335,2503,38.65583,-106.85651
2.5,19.3,4,25.8,-21.4,47.2,359,121,71,109,88,225,343,2503,38.65583,-106.85651
2.5,19.3,4,25.8,-21.4,47.2,359,121,71,109,88,256,350,2503,38.65583,-106.85651
2.5,19.3,4,25.8,-21.4,47.2,359,121,71,109,88,335,374,2503,38.65583,-106.85651
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,330,376,2810,36.02008,-106.84631
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,152,324,2810,36.02418,-106.84388
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,192,336,2810,36.0198,-106.84286
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,228,372,2772,36.02205,-106.84
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,160,312,2647,36.00363333,-106.83915
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,80,329,2647,36.00363333,-106.83915
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,280,338,2647,36.00363333,-106.83915
5.3,17.1,4.3,25.6,-13.4,39,510,199,82,178,109,190,340,2647,36.00363333,-106.83915
3.6,16.4,4.4,22.9,-13.9,36.8,643,238,104,216,147,169,327,2723,36.09723333,-106.7418833
3.6,16.4,4.4,22.9,-13.9,36.8,643,238,104,216,147,235,338,2723,36.09723333,-106.7418833
6.2,13.7,3.4,28.6,-11,39.6,298,120,42,79,42,104.6,307,1872,42.49,-106.71
1,17.8,4,22.4,-21.1,43.5,477,159,91,142,113,176.8,305,2900,38.2074,-106.688
6.5,16,4.3,25.8,-10.9,36.7,531,216,90,198,107,198,268,2805,35.8072,-106.5088
6.5,16,4.3,25.8,-10.9,36.7,531,216,90,198,107,322,369,2870,35.80743333,-106.5078667
1,16.6,4,21.3,-19.6,40.9,501,168,99,153,115,274,391,2745,38.187,-106.4986
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,93,249,2447,41.14354,-106.05341
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,105,257,2447,41.14354,-106.05341
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,268,347,2447,41.14354,-106.05341
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,219,354,2447,41.14354,-106.05341
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,445,390,2447,41.14354,-106.05341
2.5,14.9,4,23.3,-13.6,36.9,504,156,97,149,97,406,390,2447,41.14354,-106.05341
1.5,16.8,4,22.4,-18.9,41.3,381,159,57,156,57,213,315,2799,38.715216,-105.873904
1.5,16.8,4,22.4,-18.9,41.3,381,159,57,156,57,263,395,2799,38.715216,-105.873904
-0.4,14.2,4,19.3,-16.1,35.4,653,187,142,177,147,375,425,2677,40.64672,-105.85797
1.5,16.8,4,22.4,-18.9,41.3,381,159,57,156,57,236,333,2914,38.698849,-105.856738
1.5,16.8,4,22.4,-18.9,41.3,381,159,57,156,57,242,349,2914,38.698849,-105.856738
1.5,16.8,4,22.4,-18.9,41.3,381,159,57,156,57,89.5,239,2757,38.7139,-105.856738
1.5,15.7,4,21.2,-17.2,38.4,504,188,90,181,90,97,272,2957,38.210439,-105.814317
1.5,15.7,4,21.2,-17.2,38.4,504,188,90,181,90,77,314,2957,38.210439,-105.814317
1.5,15.7,4,21.2,-17.2,38.4,504,188,90,181,90,268.5,355,2957,38.210439,-105.814317
3.4,15.1,4.1,23.8,-12.8,36.6,449,165,61,157,61,228.1,335,2671,40.8005,-105.6413
3.9,15.5,4.6,21.5,-12,33.5,670,290,109,280,114,139,315,3251,35.77128,-105.59309
2.8,16.7,4,23.5,-17.5,41,415,189,43,189,43,144.7,285,2887,38.7198075,-105.4618069
2.8,16.7,4,23.5,-17.5,41,415,189,43,189,43,312.8,368,2887,38.7198075,-105.4618069
2.8,16.7,4,23.5,-17.5,41,415,189,43,189,43,282,375,2856,38.7125621,-105.4617603
1,15.5,4.4,19.2,-15.9,35.1,711,271,131,264,132,142,275,3073,36.59,-105.45
4.6,15.8,4.2,24.6,-12.2,36.8,469,165,69,159,69,321,395,2258,40.005596,-105.40623
8.5,15.8,4,29.2,-9.8,39,402,161,41,133,41,184.1,379,1654,40.216141,-105.261001
1.2,15.4,4.1,20.7,-16.6,37.3,574,234,73,234,73,268.5,400,4175,38.84056,-105.04389
1.2,15.4,4.1,20.7,-16.6,37.3,574,234,73,234,73,397.9,404,4175,38.84056,-105.04389
6.8,15,3.1,31.1,-16.3,47.4,337,165,29,149,29,101,259,747,47.06244,-104.67522
4.6,12.7,3.4,24.9,-11.9,36.8,609,264,73,224,73,149,285,1959,44.04304,-103.88467
4.6,12.7,3.4,24.9,-11.9,36.8,609,264,73,224,73,237,347,1959,44.04304,-103.88467
6.3,14.5,3.2,29.9,-15.2,45.1,398,203,28,169,28,271,365,1015,45.87466,-103.48643
6.3,14.5,3.2,29.9,-15.2,45.1,398,203,28,169,28,315,369,1015,45.87466,-103.48643
4.5,15,3.8,26.4,-12.7,39.1,468,142,97,119,128,320,239,1320,47.152,-113.184
-1.1,12.8,3.6,17,-18.5,35.5,474,149,79,134,134,115,257,1461,52.833,-124.917
